title,subtitle,raw_text,url,id,mode,location,price,details,eligibility,active,reviewed,reviewed_at,enhanced_description,valid_url,pending,application_due_dates,program_dates,grade_level
TechCrafters,PSU,"Students will participate in hands-on creative activities using a range of tools, technology, machines, and ideas. Students will gain maker skills in areas such as art, design, and engineering by creating solutions to unique challenges. Instructors will guide the students to understand various Maker tools like 3D printers and vinyl cutters, and students will use these tools to design projects. Demonstrations of advanced tools like laser cutters and the CNC router round out the experience.",https://www.abington.psu.edu/summer-camps/techcrafters,002d3a26-9c0e-4ae5-ba18-dcdc974ef1e8,"[""In-Person""]","[""Pennsylvania""]","[""Paid""]","[""Program"",""STEM"",""University""]","[""Domestic Students""]",true,false,,,,false,[],[],
Summer Research Program,Young Scientist,The Young Scientist Foundation (YSF) invites applicants for the summer research program from highly qualified high school and undergraduate students interested in pursuing biomedical research.,http://theyoungscientistfoundation.org/summer-research-program/,0055387f-5235-430e-81a5-3103fbf04935,"[""In-Person""]","[""New York""]","[""Free""]","[""Program"",""Mixed"",""Private""]","[""Domestic Students""]",true,false,,,,false,[],[],
University of Texas at Dallas,UT Dallas Biology Camp,The UT Dallas Biology Camp offers high school students a chance to explore biology through hands-on activities and experiments. Participants will engage in interactive learning experiences and gain insights into various biological concepts. The camp aims to inspire future scientists and foster a love for biology.,https://biology.utdallas.edu/outreach/ut-dallas-biology-camp/,00af0285-bd6f-4aab-992d-d6aa9a33e4eb,"[""In-Person""]","[""Texas""]","[""Paid""]","[""Program"",""Biology"",""University""]","[""International Students"",""Domestic Students""]",true,false,,,,false,[],[],
Pre-College,NYU,"hrough NYU Precollege, you can earn college credits, connect with NYU faculty and classmates, and explore interests that will shape your academic future. Precollege offers rising 11th and 12th graders the opportunity to experience life as an undergraduate, and take advantage of everything NYU has to offer. Whether you already know what you want to major in, or you want to try out a subject you've never studied before, NYU Precollege is the best way to develop your skills and prepare for college.",https://www.nyu.edu/admissions/high-school-and-middle-school-programs/high-school-programs/nyu-precollege-program.html,0109efff-0ba7-41c0-aad8-6dd95b043d2b,"[""In-Person""]","[""New York""]","[""Paid""]","[""Program"",""Mixed"",""University""]","[""International Students"",""Domestic Students""]",true,false,,,,false,[],[],
Big Red Camps,UNL,"This is a brand-new virtual reality program coming from Nebraska, Alaska, and Hawai’i Extension. Throughout the week you will discover where your food comes from, investigate a variety of techniques on how to grow food, and explore how technology is being used to improve agriculture across these three states. While we would love to take you to these states firsthand to experience the rich culture, you will have settle for the next best thing, virtual reality tours! By the end of the week, you will also be able to create your own virtual reality tour using VG googles, 360 cameras, and other video making tools. Join us as we discover the impacts of technology on the agricultural world!",https://4h.unl.edu/big-red-camps-sessions,01202af9-f632-4356-8a7d-ad7c630becde,"[""In-Person""]","[""Nebraska""]","[""Paid""]","[""Program"",""Mixed"",""University""]","[""International Students"",""Domestic Students""]",true,false,,,,false,[],[],
MIT Museum,Teen Interns at the MIT Museum,The Teen Interns program at the MIT Museum offers high school students the chance to engage in hands-on learning experiences. Interns work on projects related to museum operations and education while developing skills in communication and teamwork. This program fosters creativity and encourages exploration of the arts and sciences.,https://mitmuseum.mit.edu/connection/internships/teen-interns-at-the-mit-museum,018b7359-06da-4171-be3b-9fb6b11113c0,"[""In-Person""]","[""Massachusetts""]","[""Free""]","[""Internship"",""Art"",""University""]","[""International Students"",""Domestic Students""]",true,false,,,,false,[],[],
University of Michigan,Summer Business Academy,The Summer Business Academy is a unique opportunity for high school students to explore business concepts and develop skills through interactive learning experiences. Participants engage in hands-on activities networking opportunities and gain insights from faculty and industry professionals in a dynamic environment.,https://michiganross.umich.edu/undergraduate/summer-business-academy,0199050d-d3ea-4ffe-8b1c-752ff917ab44,"[""In-Person""]","[""Michigan""]","[""Paid""]","[""Program"",""Business"",""University""]","[""International Students"",""Domestic Students""]",true,false,,,,false,[],[],
Pre-College,NYSID,"Embark on an enriching two-week journey with Summer Springboard @ New York School of Interior Design (NYSID). This immersive experience is meticulously designed for students entering 9th-12th grade, offering a unique opportunity to explore the captivating world of design.",https://www.nysid.edu/precollege,01c0ce81-6c73-409c-8018-9f6d24ebd554,"[""In-Person""]","[""New York""]","[""Paid""]","[""Program"",""Art"",""University""]","[""International Students"",""Domestic Students""]",true,false,,,,false,[],[],
UIC,SHARP Program,The SHARP Program at UIC offers high school students an opportunity to explore engineering through hands-on activities and workshops. Participants engage in team projects and learn about various engineering disciplines while gaining valuable skills and knowledge in a supportive environment designed to inspire future engineers.,https://engineering.uic.edu/about/summer-special-programs/sharp-program/,028a69d3-eb60-4b57-9731-a7b86d78247e,"[""In-Person""]","[""Illinois""]","[""Free""]","[""Program"",""Medicine"",""University""]","[""International Students"",""Domestic Students""]",true,false,,,,false,[],[],
HealthLink,UCSF,"Healthlink is a free, year-long program for first-generation college-bound high school students in the Bay Area. HealthLink seeks to advance diversity through mentoring the next generation of health professionals by connecting high school students (high school sophomores are given preference) with a UCSF graduate student mentor from one of the five health professional schools: Nursing, Pharmacy, Dentistry, Physical Therapy, and Medicine.",https://meded.ucsf.edu/prospective-students/additional-opportunities-pre-medical-students/opportunities-high-school-students#Session-Information,028ab240-2302-4264-98fd-08ff0066b0eb,"[""In-Person""]","[""California""]","[""Paid""]","[""Program"",""Medicine"",""University""]","[""Domestic Students""]",true,false,,,,false,[],[],
Math Camp,Williams,"PZMC is a residential math camp for about 25 mathematically gifted high school students who have completed or are currently enrolled in Algebra 2 or its equivalent. Students will be exposed to several different areas of mathematics through colloquia and other activities, but the primary focus of the camp will be Number Theory & The Art of Mathematical Thinking. Students will learn to explore the theory of numbers by asking thoughtful questions, working out examples, looking for patterns, making conjectures, and finally, proving their results. Students will learn through interactive lectures, group problem solving sessions, and final projects/presentations.",https://pzmath.com/pzmc/,029d4740-3549-4b76-a60e-8bcd0c75cc61,"[""In-Person""]","[""Massachusetts""]","[""Paid""]","[""Program"",""Mathematics"",""University""]","[""International Students"",""Domestic Students""]",true,false,,,,false,[],[],
Jindal School of Management,Young Scholars Program,The Young Scholars Program at the Jindal School of Management offers high school students the opportunity to explore business concepts through interactive sessions and hands-on activities. Participants engage in team projects and gain insights into the world of business while developing critical thinking and leadership skills.,https://jindal.utdallas.edu/external-relations/young-scholars-program/high-school/,02bc8ffd-2b2b-4f30-ae8e-239a5fdcbc24,"[""In-Person""]","[""Texas""]","[""Free""]","[""Program"",""Business"",""University""]","[""International Students"",""Domestic Students""]",true,false,,,,false,[],[],
