step,timestamp,model_name,input_tokens,output_tokens
step3_sister_md,2026-01-15T12:39:53.889677,gemini-2.5-flash-lite-preview-09-2025,1840,55
step4_extract_dates,2026-01-15T12:40:05.839612,gemini-3-flash-preview,12305,207
step5_extract_metadata,2026-01-15T12:40:19.031342,gemini-3-flash-preview,12820,129
step6_extract_description,2026-01-15T12:40:29.077537,gemini-3-flash-preview,12334,186
step3_sister_md,2026-01-15T12:42:18.778933,gemini-2.5-flash-lite-preview-09-2025,2372,48
step4_extract_dates,2026-01-15T12:42:32.797415,gemini-3-flash-preview,12305,207
step5_extract_metadata,2026-01-15T12:42:51.464288,gemini-3-flash-preview,12820,129
step6_extract_description,2026-01-15T12:43:06.555058,gemini-3-flash-preview,12334,215
step3_sister_md,2026-01-15T12:51:46.773389,gemini-2.5-flash-lite-preview-09-2025,1840,55
step3_sister_md,2026-01-15T12:51:52.338123,gemini-2.5-flash-lite-preview-09-2025,2372,32
step3_sister_md,2026-01-15T12:51:56.370085,gemini-2.5-flash-lite-preview-09-2025,8225,130
step3_sister_md,2026-01-15T12:52:02.873807,gemini-2.5-flash-lite-preview-09-2025,3901,73
step3_sister_md,2026-01-15T12:52:08.151798,gemini-2.5-flash-lite-preview-09-2025,3211,80
step3_sister_md,2026-01-15T12:52:15.413590,gemini-2.5-flash-lite-preview-09-2025,2878,53
step3_sister_md,2026-01-15T12:52:22.072807,gemini-2.5-flash-lite-preview-09-2025,7475,71
step3_sister_md,2026-01-15T12:52:28.423357,gemini-2.5-flash-lite-preview-09-2025,3499,49
step3_sister_md,2026-01-15T12:52:34.642637,gemini-2.5-flash-lite-preview-09-2025,5470,91
step3_sister_md,2026-01-15T12:52:42.338675,gemini-2.5-flash-lite-preview-09-2025,2744,93
step3_sister_md,2026-01-15T12:52:48.723921,gemini-2.5-flash-lite-preview-09-2025,5571,72
step3_sister_md,2026-01-15T12:52:55.417890,gemini-2.5-flash-lite-preview-09-2025,6551,77
step3_sister_md,2026-01-15T12:53:06.407189,gemini-2.5-flash-lite-preview-09-2025,6382,77
step3_sister_md,2026-01-15T12:53:11.288706,gemini-2.5-flash-lite-preview-09-2025,4591,110
step3_sister_md,2026-01-15T12:53:17.248929,gemini-2.5-flash-lite-preview-09-2025,6732,114
step3_sister_md,2026-01-15T12:53:24.974675,gemini-2.5-flash-lite-preview-09-2025,18525,57
step3_sister_md,2026-01-15T12:53:29.989523,gemini-2.5-flash-lite-preview-09-2025,6874,42
step3_sister_md,2026-01-15T12:53:34.098028,gemini-2.5-flash-lite-preview-09-2025,2730,89
step3_sister_md,2026-01-15T12:53:40.014460,gemini-2.5-flash-lite-preview-09-2025,1024,31
step3_sister_md,2026-01-15T12:53:47.073000,gemini-2.5-flash-lite-preview-09-2025,6734,73
step3_sister_md,2026-01-15T12:53:51.849706,gemini-2.5-flash-lite-preview-09-2025,4744,93
step3_sister_md,2026-01-15T12:53:58.188215,gemini-2.5-flash-lite-preview-09-2025,859,87
step3_sister_md,2026-01-15T12:54:03.913411,gemini-2.5-flash-lite-preview-09-2025,2020,75
step3_sister_md,2026-01-15T12:54:10.694143,gemini-2.5-flash-lite-preview-09-2025,6350,50
step3_sister_md,2026-01-15T12:54:15.043674,gemini-2.5-flash-lite-preview-09-2025,7080,54
step3_sister_md,2026-01-15T12:54:19.044488,gemini-2.5-flash-lite-preview-09-2025,3371,65
step3_sister_md,2026-01-15T12:54:24.068952,gemini-2.5-flash-lite-preview-09-2025,1962,110
step3_sister_md,2026-01-15T12:54:32.167909,gemini-2.5-flash-lite-preview-09-2025,1521,50
step3_sister_md,2026-01-15T12:54:38.598698,gemini-2.5-flash-lite-preview-09-2025,4219,52
step3_sister_md,2026-01-15T12:54:43.831207,gemini-2.5-flash-lite-preview-09-2025,1287,65
step3_sister_md,2026-01-15T12:54:49.747941,gemini-2.5-flash-lite-preview-09-2025,542,35
step3_sister_md,2026-01-15T12:54:52.237296,gemini-2.5-flash-lite-preview-09-2025,1523,33
step3_sister_md,2026-01-15T12:54:56.107929,gemini-2.5-flash-lite-preview-09-2025,3009,89
step3_sister_md,2026-01-15T12:55:04.764299,gemini-2.5-flash-lite-preview-09-2025,2520,56
step3_sister_md,2026-01-15T12:55:10.880945,gemini-2.5-flash-lite-preview-09-2025,4011,72
step3_sister_md,2026-01-15T12:55:17.952026,gemini-2.5-flash-lite-preview-09-2025,2616,124
step3_sister_md,2026-01-15T12:55:24.062825,gemini-2.5-flash-lite-preview-09-2025,14240,82
step3_sister_md,2026-01-15T12:55:31.121630,gemini-2.5-flash-lite-preview-09-2025,5981,70
step3_sister_md,2026-01-15T12:55:36.079600,gemini-2.5-flash-lite-preview-09-2025,964,11
step3_sister_md,2026-01-15T12:55:36.844357,gemini-2.5-flash-lite-preview-09-2025,34164,62
step4_extract_dates,2026-01-15T12:56:12.906506,gemini-3-flash-preview,6494,198
step4_extract_dates,2026-01-15T12:56:48.425545,gemini-3-flash-preview,4884,139
step4_extract_dates,2026-01-15T12:57:02.996963,gemini-3-flash-preview,27300,579
step4_extract_dates,2026-01-15T12:57:12.530816,gemini-3-flash-preview,19440,277
step4_extract_dates,2026-01-15T12:57:33.492405,gemini-3-flash-preview,10091,722
step4_extract_dates,2026-01-15T12:57:45.098550,gemini-3-flash-preview,7922,253
step4_extract_dates,2026-01-15T12:57:58.636237,gemini-3-flash-preview,23371,255
step4_extract_dates,2026-01-15T12:58:07.555227,gemini-3-flash-preview,11282,80
step4_extract_dates,2026-01-15T12:58:17.902285,gemini-3-flash-preview,17433,95
step4_extract_dates,2026-01-15T12:58:37.088004,gemini-3-flash-preview,9553,155
step4_extract_dates,2026-01-15T12:58:52.227871,gemini-3-flash-preview,23217,208
step4_extract_dates,2026-01-15T12:59:05.245967,gemini-3-flash-preview,13305,430
step4_extract_dates,2026-01-15T12:59:11.900929,gemini-3-flash-preview,6530,97
step4_extract_dates,2026-01-15T12:59:21.840836,gemini-3-flash-preview,18744,250
step4_extract_dates,2026-01-15T12:59:44.566527,gemini-3-flash-preview,20824,508
step4_extract_dates,2026-01-15T12:59:53.831556,gemini-3-flash-preview,36889,138
step4_extract_dates,2026-01-15T13:00:04.102812,gemini-3-flash-preview,12983,177
step4_extract_dates,2026-01-15T13:00:23.928199,gemini-3-flash-preview,7494,722
step4_extract_dates,2026-01-15T13:00:37.489788,gemini-3-flash-preview,4109,348
step4_extract_dates,2026-01-15T13:00:44.212724,gemini-3-flash-preview,12520,176
step4_extract_dates,2026-01-15T13:00:56.099783,gemini-3-flash-preview,20751,305
step4_extract_dates,2026-01-15T13:01:14.748307,gemini-3-flash-preview,11151,673
step4_extract_dates,2026-01-15T13:01:23.756210,gemini-3-flash-preview,5625,219
step4_extract_dates,2026-01-15T13:01:42.385865,gemini-3-flash-preview,12913,38
step4_extract_dates,2026-01-15T13:02:13.853517,gemini-3-flash-preview,8294,391
step4_extract_dates,2026-01-15T13:02:34.751102,gemini-3-flash-preview,24038,717
step4_extract_dates,2026-01-15T13:02:55.159380,gemini-3-flash-preview,8026,883
step4_extract_dates,2026-01-15T13:03:15.119513,gemini-3-flash-preview,564440,132
step4_extract_dates,2026-01-15T13:03:30.565565,gemini-3-flash-preview,11416,103
step4_extract_dates,2026-01-15T13:03:45.583783,gemini-3-flash-preview,11210,623
step4_extract_dates,2026-01-15T13:03:50.924163,gemini-3-flash-preview,690,38
step4_extract_dates,2026-01-15T13:03:57.774463,gemini-3-flash-preview,2885,38
step4_extract_dates,2026-01-15T13:04:16.670644,gemini-3-flash-preview,13722,402
step4_extract_dates,2026-01-15T13:04:26.971932,gemini-3-flash-preview,7806,141
step4_extract_dates,2026-01-15T13:04:38.456891,gemini-3-flash-preview,13839,38
step4_extract_dates,2026-01-15T13:04:48.595058,gemini-3-flash-preview,206382,98
step4_extract_dates,2026-01-15T13:05:09.565380,gemini-3-flash-preview,970426,397
step3_sister_md,2026-01-15T13:11:41.003148,gemini-2.5-flash-lite-preview-09-2025,722,11
step3_sister_md,2026-01-15T13:11:41.610740,gemini-2.5-flash-lite-preview-09-2025,24258,64
step3_sister_md,2026-01-15T13:11:50.658777,gemini-2.5-flash-lite-preview-09-2025,2051,63
step3_sister_md,2026-01-15T13:11:56.870946,gemini-2.5-flash-lite-preview-09-2025,6983,53
step3_sister_md,2026-01-15T13:12:00.913643,gemini-2.5-flash-lite-preview-09-2025,3829,53
step3_sister_md,2026-01-15T13:12:06.815048,gemini-2.5-flash-lite-preview-09-2025,321,11
step3_sister_md,2026-01-15T13:12:07.263030,gemini-2.5-flash-lite-preview-09-2025,3794,65
step3_sister_md,2026-01-15T13:13:06.538089,gemini-2.5-flash-lite-preview-09-2025,3708,65
step3_sister_md,2026-01-15T13:13:13.455312,gemini-2.5-flash-lite-preview-09-2025,1840,55
step3_sister_md,2026-01-15T13:13:18.879501,gemini-2.5-flash-lite-preview-09-2025,2372,32
step3_sister_md,2026-01-15T13:13:23.006522,gemini-2.5-flash-lite-preview-09-2025,8225,130
step3_sister_md,2026-01-15T13:13:31.393408,gemini-2.5-flash-lite-preview-09-2025,3901,68
